1.292,0.398,116
1.406,0.423,94
1.565,0.435,87
1.325,0.39,116
1.294,0.395,118
1.325,0.41,112
1.455,0.45,97
1.374,0.424,95
1.459,0.431,99
1.512,0.437,91
1.398,0.407,98
1.365,0.44,96
1.375,0.415,96
1.317,0.406,112
1.286,0.376,114
1.335,0.406,109
1.353,0.431,101
1.369,0.397,104
1.364,0.405,103
1.352,0.392,103
1.364,0.41,112
1.573,0.454,82
1.39,0.409,87
1.512,0.433,90
1.434,0.404,101
1.384,0.431,101
1.286,0.4,116
1.576,0.455,83
1.242,0.38,122
1.453,0.436,93
1.378,0.419,101
1.319,0.39,116
1.525,0.476,89
1.409,0.422,107
1.325,0.391,116
1.351,0.414,113
1.369,0.418,101
1.512,0.443,84
1.359,0.405,112
1.412,0.422,104
1.401,0.408,100
1.445,0.44,91
1.463,0.422,92
1.409,0.432,99
1.255,0.361,118
1.467,0.45,85
1.382,0.431,98
1.45,0.418,92
1.352,0.408,108
1.388,0.413,103
1.352,0.427,101
1.448,0.442,91
1.396,0.406,87
1.303,0.394,110
1.281,0.372,120
1.296,0.386,112
1.356,0.417,100
1.368,0.416,106
1.42,0.434,100
1.518,0.45,85
1.432,0.448,89
1.272,0.376,110
1.412,0.434,91
1.361,0.399,104
1.402,0.398,100
1.356,0.395,105
1.327,0.396,102
1.43,0.416,92
1.338,0.397,112
1.372,0.4,98
1.378,0.398,102
1.385,0.402,97
1.465,0.435,85
1.371,0.403,99
1.292,0.378,97
1.438,0.427,88
1.291,0.417,103
1.365,0.394,105
1.31,0.399,107
1.276,0.379,115
1.248,0.405,111
1.491,0.449,81
1.251,0.368,108
1.289,0.401,100
1.271,0.37,117
1.299,0.387,109
1.255,0.404,103
1.31,0.39,114
1.351,0.405,100
1.38,0.41,98
1.286,0.409,104
1.252,0.361,110
1.454,0.46,86
1.308,0.392,103
1.408,0.413,90
1.303,0.397,106
1.331,0.415,95
1.338,0.413,93
1.377,0.431,103
1.318,0.396,103
1.304,0.401,99
1.42,0.432,84
1.408,0.425,92
1.272,0.388,106
1.253,0.371,104
1.24,0.385,109
1.438,0.435,89
1.378,0.411,88
1.323,0.399,116
1.312,0.378,109
1.167,0.361,127
1.413,0.409,92
1.273,0.375,104
1.26,0.386,97
1.239,0.346,109
1.306,0.398,99
1.219,0.383,105
1.241,0.392,117
1.353,0.419,99
1.297,0.382,107
1.29,0.415,104
