1.266,128
1.42,93
1.446,88
1.247,123
1.277,112
1.418,90
1.45,87
1.161,138
1.381,112
1.496,84
1.27,99
1.39,97
1.279,102
1.155,123
1.44,83
1.338,110
1.372,97
1.485,83
1.209,121
1.36,90
1.387,95
1.371,101
1.378,90
1.312,94
1.385,95
1.3,106
1.264,106
1.396,103
1.371,102
1.241,116
1.492,88
1.355,92
1.364,102
1.273,112
1.11,133
1.343,99
1.451,87
1.239,118
1.455,99
1.316,101
1.29,97
1.354,102
1.392,94
1.191,109
1.361,98
1.382,105
1.453,83
1.269,113
1.262,104
1.342,91
1.346,91
1.395,99
1.385,90
1.283,102
1.214,109
1.317,100
1.322,96
1.369,104
1.234,113
1.192,122
1.33,102
1.412,88
1.317,102
1.356,100
1.152,114
1.32,98
1.362,92
1.186,117
1.513,92
1.368,86
1.201,110
1.282,112
1.264,96
1.184,107
1.319,95
1.358,93
1.33,100
1.179,111
1.297,101
1.299,94
1.448,82
1.239,121
1.31,91
1.313,92
1.229,103
1.254,134
1.232,105
1.363,100
1.214,108
1.206,110
1.34,88
1.265,106
1.241,115
1.324,100
1.3,97
1.405,88
1.237,103
1.268,110
1.439,88
1.332,97
1.335,94
1.259,113
1.221,101
1.206,103
1.33,98
1.247,103
1.391,86
1.284,99
1.232,103
1.145,116
1.306,99
1.263,103
1.225,104
1.173,115
1.169,99
1.236,104
1.212,105
1.413,89
1.31,95
1.158,124
1.301,99
1.196,118
1.315,98
1.3,109
1.293,97
1.329,106
1.173,112
1.327,100
1.436,101
1.252,116
1.49,85
1.267,120
1.378,89
1.228,110
1.303,104
1.294,101
1.413,90
1.287,95
1.305,102
1.217,109
1.372,87
1.233,109
1.328,86
1.328,86
1.313,87
1.245,110
1.227,103
1.277,114
1.344,97
1.226,106
1.29,104
1.227,117
1.291,109
1.371,90
1.395,91
1.292,106
1.227,123
1.419,82
1.549,89
1.291,113
1.428,89
1.41,98
1.271,95
1.253,114
1.349,100
1.364,98
1.391,86
1.294,93
1.268,110
1.239,112
1.237,105
1.289,97
1.321,90
1.241,102
1.275,96
1.269,103
1.166,121
1.265,109
1.394,91
1.221,120
1.286,104
1.252,110
1.454,86
1.308,103
1.408,90
1.303,106
1.331,95
1.338,93
1.377,103
1.318,103
1.304,99
1.42,84
1.408,92
1.272,106
1.253,104
1.24,109
1.438,89
1.378,88
1.323,116
1.312,109
1.167,127
1.413,92
1.273,104
1.26,97
1.239,109
1.306,99
1.219,105
1.241,117
1.353,99
1.297,107
1.432,89
1.272,110
1.412,91
1.361,104
1.402,100
1.356,105
1.327,102
1.43,92
1.338,112
1.372,98
1.378,102
1.385,97
1.465,85
1.371,99
1.292,97
1.438,88
1.291,103
1.365,105
1.31,107
1.276,115
1.248,111
1.491,81
1.251,108
1.289,100
1.271,117
1.299,109
1.255,103
1.31,114
1.351,100
1.38,98
1.378,101
1.319,116
1.525,89
1.409,107
1.325,116
1.351,113
1.369,101
1.512,84
1.359,112
1.412,104
1.401,100
1.445,91
1.463,92
1.409,99
1.255,118
1.467,85
1.382,98
1.45,92
1.352,108
1.388,103
1.352,101
1.448,91
1.396,87
1.303,110
1.281,120
1.296,112
1.356,100
1.368,106
1.42,100
1.518,85
1.292,116
1.406,94
1.565,87
1.325,116
1.294,118
1.325,112
1.455,97
1.374,95
1.459,99
1.512,91
1.398,98
1.365,96
1.375,96
1.317,112
1.286,114
1.335,109
1.353,101
1.369,104
1.364,103
1.352,103
1.364,112
1.573,82
1.39,87
1.512,90
1.434,101
1.384,101
1.286,116
1.576,83
1.242,122
1.453,93
