113,1.254,0.388
110,1.284,0.37
83,1.496,0.471
119,1.246,0.39
115,1.315,0.376
89,1.432,0.42
89,1.404,0.45
115,1.205,0.414
110,1.31,0.417
98,1.343,0.439
131,1.099,0.358
88,1.46,0.446
103,1.321,0.415
114,1.152,0.379
82,1.382,0.424
110,1.24,0.387
96,1.384,0.423
93,1.265,0.398
112,1.239,0.39
109,1.212,0.392
100,1.291,0.407
99,1.309,0.407
88,1.338,0.417
99,1.24,0.418
97,1.308,0.404
101,1.338,0.378
111,1.199,0.377
96,1.403,0.464
88,1.414,0.446
106,1.25,0.411
